"Taxon","Trait1","Trait2","Trait3","Trait4","Trait5"
"COR_Discosoma",-22.4691812523542,14.6467542728922,17.270265485562,26.5277026201274,18.3240093557469
"COR_Ricordea_florida",-78.1975760241403,-11.1153102070324,39.7323295593253,6.52577695127967,51.3861069910505
"MIC_Letepsammia",4.45655193574785,30.2844575953725,14.0971133016754,-19.2856437009319,-1.03427924494778
"MIC_Rhombopsammia",-11.0101203534777,34.2338374377289,16.0088514745031,-30.1258435401248,13.7481197656397
"MIC_Stephanophyllia",-15.1709090754881,29.4978561720054,19.4171090203424,-26.7063759004712,15.4744316261964
"GAR_Gardineria_hawaiiensis",-56.987386802838,43.1384122201542,-1.36980586547382,-15.7281113088332,12.4511967839872
"GAR_Gardineria_paradoxa",-74.4037766123213,50.7111528446406,-19.5644397700937,-33.2345812575493,19.5352965971358
"ANT_Anthemiphyllia_patera",-96.6419252750911,23.3419198482977,14.8790342370952,-19.1744293356951,52.3211171813442
"CAR_Deltocyathus_ornatus",4.71316133528615,58.5642673107456,-23.1529181164101,6.09636905481095,-53.8760205275129
"CAR_Deltocyathus_suluensis",23.5712530432244,58.3167303861936,-42.7473077521789,15.1066819221971,-60.1590788796588
"CAR_Deltocyathus_sarsi",31.4023198002357,46.8037921138934,-47.8600285115738,29.9017204116691,-64.5991229621373
"CAR_Deltocyathus_inusitatus",33.4411801252124,53.2135925379583,-42.2426740561212,27.6022186314592,-62.456421652423
"CAR_Deltocyathus_rotulus",30.2274206495723,43.5870859816277,-34.3901739249865,28.1703659622213,-57.4314789589786
"ANT_Anthemiphyllia_spinifera",64.5180848893163,-11.9426140085913,26.6277100255739,36.6658689152104,-13.252869494285
"ANT_Anthemiphyllia_dentata",-32.0826597580759,49.0109053973269,-76.9905091637633,31.9573054331163,-5.33974802093801
"CAR_Ceratotrochus",-48.0964772870674,40.3986668520519,-62.4408153263213,31.4940387079004,7.15854857886671
"CAR_Conotrochus",-43.5492420165664,42.8813093616239,-60.6573823124402,32.9119844936939,5.13355492573441
