"Species","disc_trait_ER","host_cont_trait"
"COR_Discosoma","2",-7.89827656079594
"COR_Ricordea_florida","1",-16.4601493840541
"MIC_Letepsammia","2",36.6850253390541
"MIC_Rhombopsammia","2",35.5974766666597
"MIC_Stephanophyllia","2",33.1572403397444
"GAR_Gardineria_hawaiiensis","2",-0.698291373316215
"GAR_Gardineria_paradoxa","2",-8.66581240261648
"ANT_Anthemiphyllia_patera","1",-5.33521438191762
"CAR_Deltocyathus_ornatus","2",11.8977188573864
"CAR_Deltocyathus_suluensis","2",12.8828126451234
"CAR_Deltocyathus_sarsi","1",8.73662135805064
"CAR_Deltocyathus_inusitatus","1",10.7536000799284
"CAR_Deltocyathus_rotulus","2",9.10283908447081
"ANT_Anthemiphyllia_spinifera","2",-16.4102356660602
"ANT_Anthemiphyllia_dentata","2",-13.1655024867996
"CAR_Ceratotrochus","1",-14.8400169939547
"CAR_Conotrochus","2",-14.1070429297891
"CAR_Vaughanella","1",-1.37601380818522
"CAR_Stephanocyathus_weberianus","2",2.97564728723343
"CAR_Stephanocyathus_platypus","2",7.68988522179531
"CAR_Stephanocyathus_coronatus","1",5.68775189204198
"CAR_Stephanocyathus_spiniger","2",5.13630305906363
"CAR_Caryophyllia_versicolorata","2",-18.4958645471928
"CAR_Crispatotrochus","2",-19.6403547928968
"CAR_Caryophyllia_inornata","1",-10.6936811605369
"CAR_Caryophyllia_rugosa","1",-5.99996116079754
"CAR_Caryophyllia_lamellifera","1",-2.98461771984429
"CAR_Caryophyllia_grayi","1",-2.18997335214371
"STE_Stenocyathus_vermiformis","2",-6.57996451961902
"CAR_Caryophyllia_planilamellata","1",8.62228900713771
"CAR_Caryophyllia_quadragenaria","1",-1.42302275561294
"CAR_Caryophyllia_ambrosia","2",-1.64813269779724
"CAR_Caryophyllia_atlantica","1",-0.658515699888919
"CAR_Dasmosmilia_lymani","2",-3.9256295849295
"CAR_Caryophyllia_scobinosa","2",-1.81867481123403
"CAR_Caryophyllia_unicristata","1",3.285712471083
"CAR_Caryophyllia_grandis","2",-0.174190492624392
"CAR_Caryophyllia_transversalis","1",-1.42006227049302
"CAR_Lophelia_pertusa","1",-6.57219893668532
"CAR_Solenosmilia_variabilis","1",-12.93610422824
"CAR_Caryophyllia_diomedeae","2",-5.68389183427219
"CAR_Desmophyllum","1",-6.66384975516672
